nodenumber,    x-coordinate,    y-coordinate,velocity-magnitude
         1, 2.400000000E-01, 1.199999966E-01, 0.000000000E+00
         2, 2.398383786E-01, 1.200000015E-01, 1.155008476E+00
         3, 2.396767727E-01, 1.200000028E-01, 2.056618552E+00
         4, 2.395151493E-01, 1.199999993E-01, 2.526736900E+00
         5, 2.393535362E-01, 1.200000010E-01, 2.971398861E+00
         6, 2.391919204E-01, 1.200000013E-01, 3.082945570E+00
         7, 2.390302999E-01, 1.199999993E-01, 3.194492340E+00
         8, 2.388686835E-01, 1.199999993E-01, 3.306038998E+00
         9, 2.387070676E-01, 1.199999999E-01, 3.405016117E+00
        10, 2.385454462E-01, 1.199999992E-01, 3.403330613E+00
        11, 2.383838410E-01, 1.199999993E-01, 3.401645474E+00
        12, 2.382222199E-01, 1.199999989E-01, 3.399959952E+00
        13, 2.380606006E-01, 1.199999993E-01, 3.398274481E+00
        14, 2.378989725E-01, 1.199999953E-01, 3.396588862E+00
        15, 2.377373633E-01, 1.200000009E-01, 3.394903660E+00
        16, 2.375757360E-01, 1.199999973E-01, 3.393218096E+00
        17, 2.374141167E-01, 1.199999974E-01, 3.387997399E+00
        18, 2.372525003E-01, 1.199999974E-01, 3.367815476E+00
        19, 2.370908976E-01, 1.199999969E-01, 3.347635437E+00
        20, 2.369292794E-01, 1.199999960E-01, 3.327453494E+00
        21, 2.367676776E-01, 1.200000034E-01, 3.307271823E+00
        22, 2.366060531E-01, 1.199999993E-01, 3.287089944E+00
        23, 2.364444296E-01, 1.199999958E-01, 3.266907856E+00
        24, 2.362828202E-01, 1.199999993E-01, 3.246726051E+00
        25, 2.361212038E-01, 1.199999993E-01, 3.226544142E+00
        26, 2.359595873E-01, 1.199999993E-01, 3.206362352E+00
        27, 2.357979928E-01, 1.200000029E-01, 3.186182424E+00
        28, 2.356363685E-01, 1.199999989E-01, 3.166000381E+00
        29, 2.354747459E-01, 1.199999958E-01, 3.145818532E+00
        30, 2.353131390E-01, 1.200000007E-01, 3.125636619E+00
        31, 2.351515165E-01, 1.199999975E-01, 3.105454616E+00
        32, 2.349899104E-01, 1.200000029E-01, 3.085272923E+00
        33, 2.348282910E-01, 1.200000017E-01, 3.063677070E+00
        34, 2.346666622E-01, 1.199999963E-01, 3.039467154E+00
        35, 2.345050597E-01, 1.199999968E-01, 3.015259407E+00
        36, 2.343434464E-01, 1.199999993E-01, 2.991049524E+00
        37, 2.341818307E-01, 1.200000007E-01, 2.966839574E+00
        38, 2.340202037E-01, 1.199999962E-01, 2.942629464E+00
        39, 2.338585914E-01, 1.199999993E-01, 2.918419696E+00
        40, 2.336969723E-01, 1.199999989E-01, 2.894209743E+00
        41, 2.335353548E-01, 1.199999993E-01, 2.869999811E+00
        42, 2.333737366E-01, 1.199999993E-01, 2.845789820E+00
        43, 2.332121263E-01, 1.199999958E-01, 2.821581960E+00
        44, 2.330505140E-01, 1.199999989E-01, 2.797372185E+00
        45, 2.328888975E-01, 1.199999998E-01, 2.773162156E+00
        46, 2.327272717E-01, 1.199999960E-01, 2.748952202E+00
        47, 2.325656566E-01, 1.199999975E-01, 2.724742256E+00
        48, 2.324040451E-01, 1.200000011E-01, 2.700532399E+00
        49, 2.322424163E-01, 1.199999958E-01, 2.676322391E+00
        50, 2.320808017E-01, 1.199999976E-01, 2.652112306E+00
        51, 2.319192080E-01, 1.200000026E-01, 2.627782750E+00
        52, 2.317575792E-01, 1.199999972E-01, 2.603291519E+00
        53, 2.315959657E-01, 1.199999997E-01, 2.578800298E+00
        54, 2.314343502E-01, 1.200000011E-01, 2.554309048E+00
        55, 2.312727345E-01, 1.200000024E-01, 2.529817943E+00
        56, 2.311111032E-01, 1.199999958E-01, 2.505326584E+00
        57, 2.309494918E-01, 1.199999993E-01, 2.480835475E+00
        58, 2.307878744E-01, 1.199999998E-01, 2.456344262E+00
        59, 2.306262552E-01, 1.199999993E-01, 2.431853034E+00
        60, 2.304646518E-01, 1.199999993E-01, 2.407364033E+00
        61, 2.303030335E-01, 1.199999993E-01, 2.382872872E+00
        62, 2.301414152E-01, 1.199999993E-01, 2.358381651E+00
        63, 2.299798028E-01, 1.200000024E-01, 2.333890475E+00
        64, 2.298181744E-01, 1.199999971E-01, 2.309399210E+00
        65, 2.296565611E-01, 1.199999998E-01, 2.284908116E+00
        66, 2.294949459E-01, 1.200000013E-01, 2.260416951E+00
        67, 2.293333190E-01, 1.199999969E-01, 2.235925650E+00
        68, 2.291717152E-01, 1.199999967E-01, 2.211436655E+00
        69, 2.290101086E-01, 1.200000026E-01, 2.187181353E+00
        70, 2.288484907E-01, 1.200000023E-01, 2.163145965E+00
        71, 2.286868742E-01, 1.200000029E-01, 2.139110712E+00
        72, 2.285252525E-01, 1.200000007E-01, 2.115075279E+00
