nodenumber,    x-coordinate,    y-coordinate,velocity-magnitude
         1, 2.400000000E-01, 1.999999918E-02, 0.000000000E+00
         2, 2.398383670E-01, 1.999999896E-02, 3.556210682E+00
         3, 2.396767712E-01, 1.999999884E-02, 4.769870847E+00
         4, 2.395151588E-01, 1.999999918E-02, 4.968268633E+00
         5, 2.393535470E-01, 1.999999959E-02, 5.151197128E+00
         6, 2.391919290E-01, 1.999999978E-02, 5.131419659E+00
         7, 2.390303017E-01, 1.999999918E-02, 5.111642122E+00
         8, 2.388686814E-01, 1.999999918E-02, 5.091864705E+00
         9, 2.387070643E-01, 1.999999942E-02, 5.069883175E+00
        10, 2.385454431E-01, 1.999999918E-02, 5.030252695E+00
        11, 2.383838326E-01, 1.999999858E-02, 4.990625262E+00
        12, 2.382222143E-01, 1.999999858E-02, 4.950994611E+00
        13, 2.380606030E-01, 1.999999918E-02, 4.911363840E+00
        14, 2.378989847E-01, 1.999999918E-02, 4.871733189E+00
        15, 2.377373664E-01, 1.999999918E-02, 4.832102418E+00
        16, 2.375757481E-01, 1.999999918E-02, 4.792471647E+00
        17, 2.374141354E-01, 1.999999965E-02, 4.753617629E+00
        18, 2.372525143E-01, 1.999999933E-02, 4.718051314E+00
        19, 2.370909136E-01, 1.999999948E-02, 4.682488680E+00
        20, 2.369292927E-01, 1.999999918E-02, 4.646922588E+00
        21, 2.367676752E-01, 1.999999918E-02, 4.611356616E+00
        22, 2.366060650E-01, 1.999999978E-02, 4.575790882E+00
        23, 2.364444475E-01, 1.999999978E-02, 4.540224910E+00
        24, 2.362828231E-01, 1.999999918E-02, 4.504658699E+00
        25, 2.361212057E-01, 1.999999918E-02, 4.469092607E+00
        26, 2.359595883E-01, 1.999999918E-02, 4.433526754E+00
        27, 2.357979858E-01, 1.999999918E-02, 4.397964001E+00
        28, 2.356363684E-01, 1.999999918E-02, 4.362397909E+00
        29, 2.354747510E-01, 1.999999918E-02, 4.326832175E+00
        30, 2.353131337E-01, 1.999999918E-02, 4.291266143E+00
        31, 2.351515163E-01, 1.999999918E-02, 4.255700052E+00
        32, 2.349898989E-01, 1.999999918E-02, 4.220134243E+00
        33, 2.348282855E-01, 1.999999955E-02, 4.191364974E+00
        34, 2.346666611E-01, 1.999999903E-02, 4.175162613E+00
        35, 2.345050595E-01, 1.999999918E-02, 4.158961833E+00
        36, 2.343434376E-01, 1.999999888E-02, 4.142759502E+00
        37, 2.341818264E-01, 1.999999948E-02, 4.126557350E+00
        38, 2.340202045E-01, 1.999999918E-02, 4.110355020E+00
        39, 2.338585792E-01, 1.999999858E-02, 4.094152689E+00
        40, 2.336969679E-01, 1.999999918E-02, 4.077950597E+00
        41, 2.335353566E-01, 1.999999978E-02, 4.061748385E+00
        42, 2.333737314E-01, 1.999999918E-02, 4.045546055E+00
        43, 2.332121280E-01, 1.999999918E-02, 4.029345274E+00
        44, 2.330505096E-01, 1.999999918E-02, 4.013143063E+00
        45, 2.328888914E-01, 1.999999918E-02, 3.996940613E+00
        46, 2.327272730E-01, 1.999999918E-02, 3.980738401E+00
        47, 2.325656548E-01, 1.999999918E-02, 3.964536190E+00
        48, 2.324040365E-01, 1.999999918E-02, 3.948333979E+00
        49, 2.322424181E-01, 1.999999918E-02, 3.932131737E+00
        50, 2.320807999E-01, 1.999999918E-02, 3.915929273E+00
        51, 2.319191998E-01, 1.999999944E-02, 3.906690955E+00
        52, 2.317575793E-01, 1.999999918E-02, 3.906527698E+00
        53, 2.315959584E-01, 1.999999888E-02, 3.906364441E+00
        54, 2.314343375E-01, 1.999999858E-02, 3.906201184E+00
        55, 2.312727304E-01, 1.999999948E-02, 3.906038165E+00
        56, 2.311111095E-01, 1.999999918E-02, 3.905874848E+00
        57, 2.309494851E-01, 1.999999858E-02, 3.905711532E+00
        58, 2.307878814E-01, 1.999999978E-02, 3.905548573E+00
        59, 2.306262571E-01, 1.999999918E-02, 3.905385256E+00
        60, 2.304646544E-01, 1.999999918E-02, 3.905222297E+00
        61, 2.303030371E-01, 1.999999918E-02, 3.905058980E+00
        62, 2.301414196E-01, 1.999999918E-02, 3.904895902E+00
        63, 2.299798020E-01, 1.999999918E-02, 3.904732585E+00
        64, 2.298181847E-01, 1.999999918E-02, 3.904569507E+00
