nodenumber,    x-coordinate,    y-coordinate,velocity-magnitude
         1, 2.400000000E-01, 5.999999898E-02, 0.000000000E+00
         2, 2.398383746E-01, 6.000000016E-02, 2.889583271E+00
         3, 2.396767796E-01, 6.000000010E-02, 4.507904731E+00
         4, 2.395151580E-01, 6.000000073E-02, 5.040498853E+00
         5, 2.393535271E-01, 5.999999886E-02, 5.537936565E+00
         6, 2.391919235E-01, 6.000000206E-02, 5.575329363E+00
         7, 2.390303017E-01, 6.000000073E-02, 5.612721682E+00
         8, 2.388686852E-01, 6.000000073E-02, 5.650114268E+00
         9, 2.387070788E-01, 6.000000330E-02, 5.679315798E+00
        10, 2.385454591E-01, 6.000000296E-02, 5.642917722E+00
        11, 2.383838468E-01, 6.000000073E-02, 5.606522799E+00
        12, 2.382222267E-01, 6.000000028E-02, 5.570124686E+00
        13, 2.380606101E-01, 6.000000073E-02, 5.533726871E+00
        14, 2.378989901E-01, 6.000000028E-02, 5.497328758E+00
        15, 2.377373735E-01, 6.000000073E-02, 5.460930884E+00
        16, 2.375757485E-01, 5.999999905E-02, 5.424532652E+00
        17, 2.374141307E-01, 5.999999919E-02, 5.385707535E+00
        18, 2.372525118E-01, 5.999999905E-02, 5.336604998E+00
        19, 2.370909133E-01, 6.000000028E-02, 5.287506938E+00
        20, 2.369292976E-01, 6.000000095E-02, 5.238404632E+00
        21, 2.367676784E-01, 6.000000073E-02, 5.189301908E+00
        22, 2.366060583E-01, 6.000000028E-02, 5.140199274E+00
        23, 2.364444400E-01, 6.000000028E-02, 5.091096699E+00
        24, 2.362828234E-01, 6.000000073E-02, 5.041994274E+00
        25, 2.361212050E-01, 6.000000073E-02, 4.992891550E+00
        26, 2.359595868E-01, 6.000000073E-02, 4.943789124E+00
        27, 2.357979815E-01, 6.000000029E-02, 4.894691050E+00
        28, 2.356363596E-01, 5.999999939E-02, 4.845588475E+00
        29, 2.354747483E-01, 6.000000117E-02, 4.796485990E+00
        30, 2.353131291E-01, 6.000000095E-02, 4.747383237E+00
        31, 2.351515116E-01, 6.000000117E-02, 4.698280752E+00
        32, 2.349898920E-01, 6.000000084E-02, 4.649178028E+00
        33, 2.348282756E-01, 6.000000131E-02, 4.598183094E+00
        34, 2.346666593E-01, 6.000000185E-02, 4.543690555E+00
        35, 2.345050533E-01, 6.000000117E-02, 4.489202902E+00
        36, 2.343434324E-01, 6.000000050E-02, 4.434710011E+00
        37, 2.341818114E-01, 5.999999984E-02, 4.380217344E+00
        38, 2.340201949E-01, 6.000000028E-02, 4.325724661E+00
        39, 2.338585731E-01, 5.999999939E-02, 4.271231800E+00
        40, 2.336969601E-01, 6.000000073E-02, 4.216739297E+00
        41, 2.335353417E-01, 6.000000073E-02, 4.162246644E+00
        42, 2.333737235E-01, 6.000000073E-02, 4.107753932E+00
        43, 2.332121199E-01, 6.000000073E-02, 4.053266227E+00
        44, 2.330505017E-01, 6.000000073E-02, 3.998773575E+00
        45, 2.328888816E-01, 6.000000029E-02, 3.944280773E+00
        46, 2.327272617E-01, 5.999999984E-02, 3.889788121E+00
        47, 2.325656416E-01, 5.999999939E-02, 3.835295409E+00
        48, 2.324040294E-01, 6.000000094E-02, 3.780802757E+00
        49, 2.322424110E-01, 6.000000095E-02, 3.726310194E+00
        50, 2.320807852E-01, 5.999999900E-02, 3.671817243E+00
        51, 2.319191898E-01, 6.000000098E-02, 3.619505839E+00
        52, 2.317575688E-01, 6.000000008E-02, 3.570025086E+00
        53, 2.315959539E-01, 6.000000073E-02, 3.520544328E+00
        54, 2.314343304E-01, 5.999999918E-02, 3.471063450E+00
        55, 2.312727207E-01, 6.000000118E-02, 3.421582922E+00
        56, 2.311111031E-01, 6.000000117E-02, 3.372102231E+00
        57, 2.309494823E-01, 6.000000028E-02, 3.322621465E+00
        58, 2.307878665E-01, 6.000000073E-02, 3.273140818E+00
        59, 2.306262490E-01, 6.000000073E-02, 3.223660022E+00
        60, 2.304646465E-01, 6.000000073E-02, 3.174183965E+00
        61, 2.303030289E-01, 6.000000073E-02, 3.124703199E+00
        62, 2.301414115E-01, 6.000000073E-02, 3.075222522E+00
        63, 2.299797923E-01, 6.000000028E-02, 3.025741816E+00
        64, 2.298181799E-01, 6.000000162E-02, 2.976261199E+00
        65, 2.296565548E-01, 5.999999961E-02, 2.926780373E+00
        66, 2.294949348E-01, 5.999999894E-02, 2.877299637E+00
        67, 2.293333250E-01, 6.000000095E-02, 2.827819094E+00
        68, 2.291717150E-01, 5.999999899E-02, 2.778342854E+00
        69, 2.290100992E-01, 5.999999955E-02, 2.734639600E+00
        70, 2.288484828E-01, 6.000000007E-02, 2.696328931E+00
        71, 2.286868722E-01, 6.000000206E-02, 2.658018135E+00
        72, 2.285252530E-01, 6.000000184E-02, 2.619707383E+00
        73, 2.283636321E-01, 6.000000117E-02, 2.581396490E+00
        74, 2.282020138E-01, 6.000000118E-02, 2.543085814E+00
        75, 2.280403955E-01, 6.000000118E-02, 2.504774973E+00
        76, 2.278787905E-01, 6.000000073E-02, 2.466467708E+00
        77, 2.277171721E-01, 6.000000073E-02, 2.428156853E+00
        78, 2.275555539E-01, 6.000000073E-02, 2.389846116E+00
        79, 2.273939355E-01, 6.000000073E-02, 2.351535201E+00
        80, 2.272323207E-01, 6.000000162E-02, 2.313224524E+00
        81, 2.270706989E-01, 6.000000073E-02, 2.274913639E+00
        82, 2.269090788E-01, 6.000000028E-02, 2.236602813E+00
        83, 2.267474707E-01, 6.000000296E-02, 2.198292226E+00
        84, 2.265858530E-01, 5.999999916E-02, 2.159984812E+00
        85, 2.264242347E-01, 5.999999917E-02, 2.121673964E+00
        86, 2.262626226E-01, 6.000000078E-02, 2.083363218E+00
        87, 2.261010042E-01, 6.000000079E-02, 2.050696088E+00
        88, 2.259393810E-01, 5.999999949E-02, 2.021785058E+00
        89, 2.257777648E-01, 6.000000006E-02, 1.992873982E+00
        90, 2.256161431E-01, 5.999999918E-02, 1.963962995E+00
        91, 2.254545341E-01, 6.000000162E-02, 1.935052104E+00
        92, 2.252929257E-01, 6.000000029E-02, 1.906143695E+00
        93, 2.251313107E-01, 6.000000118E-02, 1.877232790E+00
        94, 2.249696907E-01, 6.000000073E-02, 1.848321736E+00
        95, 2.248080725E-01, 6.000000073E-02, 1.819410756E+00
        96, 2.246464540E-01, 6.000000073E-02, 1.790499687E+00
        97, 2.244848358E-01, 6.000000073E-02, 1.761588722E+00
        98, 2.243232191E-01, 6.000000118E-02, 1.732677743E+00
        99, 2.241616026E-01, 6.000000162E-02, 1.703766704E+00
       100, 2.239999907E-01, 5.999999939E-02, 1.674858317E+00
