nodenumber,    x-coordinate,    y-coordinate,turb-kinetic-energy
         1, 2.400000000E-01, 5.999999898E-02, 2.156622372E-06
         2, 2.398383746E-01, 6.000000016E-02, 1.801854447E-01
         3, 2.396767796E-01, 6.000000010E-02, 5.745880511E-01
         4, 2.395151580E-01, 6.000000073E-02, 8.808190525E-01
         5, 2.393535271E-01, 5.999999886E-02, 1.179028173E+00
         6, 2.391919235E-01, 6.000000206E-02, 1.372265160E+00
         7, 2.390303017E-01, 6.000000073E-02, 1.565502152E+00
         8, 2.388686852E-01, 6.000000073E-02, 1.758739069E+00
         9, 2.387070788E-01, 6.000000330E-02, 1.940698854E+00
        10, 2.385454591E-01, 6.000000296E-02, 2.032347523E+00
        11, 2.383838468E-01, 6.000000073E-02, 2.123987719E+00
        12, 2.382222267E-01, 6.000000028E-02, 2.215636402E+00
        13, 2.380606101E-01, 6.000000073E-02, 2.307285070E+00
        14, 2.378989901E-01, 6.000000028E-02, 2.398933694E+00
        15, 2.377373735E-01, 6.000000073E-02, 2.490582272E+00
        16, 2.375757485E-01, 5.999999905E-02, 2.582230933E+00
        17, 2.374141307E-01, 5.999999919E-02, 2.663234846E+00
        18, 2.372525118E-01, 5.999999905E-02, 2.699163124E+00
        19, 2.370909133E-01, 6.000000028E-02, 2.735087946E+00
        20, 2.369292976E-01, 6.000000095E-02, 2.771016240E+00
        21, 2.367676784E-01, 6.000000073E-02, 2.806944370E+00
        22, 2.366060583E-01, 6.000000028E-02, 2.842872471E+00
        23, 2.364444400E-01, 6.000000028E-02, 2.878800601E+00
        24, 2.362828234E-01, 6.000000073E-02, 2.914728880E+00
        25, 2.361212050E-01, 6.000000073E-02, 2.950657070E+00
        26, 2.359595868E-01, 6.000000073E-02, 2.986585200E+00
        27, 2.357979815E-01, 6.000000029E-02, 3.022510171E+00
        28, 2.356363596E-01, 5.999999939E-02, 3.058438152E+00
        29, 2.354747483E-01, 6.000000117E-02, 3.094366461E+00
        30, 2.353131291E-01, 6.000000095E-02, 3.130294636E+00
        31, 2.351515116E-01, 6.000000117E-02, 3.166222803E+00
        32, 2.349898920E-01, 6.000000084E-02, 3.202150974E+00
        33, 2.348282756E-01, 6.000000131E-02, 3.223695267E+00
        34, 2.346666593E-01, 6.000000185E-02, 3.218654834E+00
        35, 2.345050533E-01, 6.000000117E-02, 3.213614970E+00
        36, 2.343434324E-01, 6.000000050E-02, 3.208574533E+00
