nodenumber,    x-coordinate,    y-coordinate,turb-kinetic-energy
         1, 2.398383707E-01, 7.999999854E-02, 9.800455882E-02
         2, 2.396767739E-01, 7.999999774E-02, 3.720212674E-01
         3, 2.395151588E-01, 7.999999818E-02, 6.097376468E-01
         4, 2.393535471E-01, 7.999999985E-02, 8.404177740E-01
         5, 2.391919286E-01, 8.000000042E-02, 9.788951185E-01
         6, 2.390303016E-01, 7.999999818E-02, 1.117372410E+00
         7, 2.388686850E-01, 7.999999938E-02, 1.255849697E+00
         8, 2.387070563E-01, 7.999999644E-02, 1.388004280E+00
         9, 2.385454398E-01, 7.999999706E-02, 1.469525015E+00
        10, 2.383838397E-01, 7.999999818E-02, 1.551038448E+00
        11, 2.382222143E-01, 7.999999580E-02, 1.632559232E+00
        12, 2.380606030E-01, 7.999999818E-02, 1.714080084E+00
        13, 2.378989843E-01, 7.999999804E-02, 1.795600863E+00
        14, 2.377373626E-01, 7.999999692E-02, 1.877121596E+00
        15, 2.375757550E-01, 8.000000053E-02, 1.958642573E+00
        16, 2.374141292E-01, 7.999999794E-02, 2.032019699E+00
        17, 2.372525157E-01, 7.999999927E-02, 2.070912214E+00
        18, 2.370909027E-01, 7.999999572E-02, 2.109801026E+00
        19, 2.369292924E-01, 7.999999811E-02, 2.148693450E+00
        20, 2.367676825E-01, 8.000000064E-02, 2.187586032E+00
        21, 2.366060650E-01, 8.000000057E-02, 2.226478491E+00
        22, 2.364444409E-01, 7.999999833E-02, 2.265370954E+00
        23, 2.362828236E-01, 7.999999833E-02, 2.304263413E+00
        24, 2.361212057E-01, 7.999999818E-02, 2.343155868E+00
        25, 2.359595883E-01, 7.999999818E-02, 2.382048327E+00
        26, 2.357979788E-01, 7.999999580E-02, 2.420937058E+00
        27, 2.356363679E-01, 7.999999804E-02, 2.459829688E+00
        28, 2.354747582E-01, 8.000000064E-02, 2.498722155E+00
        29, 2.353131335E-01, 7.999999811E-02, 2.537614554E+00
        30, 2.351515219E-01, 8.000000008E-02, 2.576507035E+00
        31, 2.349898963E-01, 7.999999731E-02, 2.615399509E+00
        32, 2.348282794E-01, 7.999999759E-02, 2.643317984E+00
        33, 2.346666684E-01, 8.000000008E-02, 2.650945717E+00
        34, 2.345050649E-01, 8.000000001E-02, 2.658572782E+00
        35, 2.343434409E-01, 7.999999811E-02, 2.666200515E+00
        36, 2.341818159E-01, 7.999999580E-02, 2.673828121E+00
        37, 2.340202050E-01, 7.999999833E-02, 2.681455966E+00
        38, 2.338585792E-01, 7.999999580E-02, 2.689083561E+00
        39, 2.336969679E-01, 7.999999818E-02, 2.696711399E+00
        40, 2.335353566E-01, 8.000000057E-02, 2.704339296E+00
        41, 2.333737313E-01, 7.999999818E-02, 2.711966954E+00
        42, 2.332121275E-01, 7.999999804E-02, 2.719593853E+00
        43, 2.330505166E-01, 8.000000057E-02, 2.727221809E+00
        44, 2.328888983E-01, 8.000000057E-02, 2.734849587E+00
        45, 2.327272802E-01, 8.000000064E-02, 2.742477309E+00
