nodenumber,    x-coordinate,    y-coordinate,velocity-magnitude
         1, 2.399999807E-01, 3.999999879E-02, 5.246420333E-04
         2, 2.398383741E-01, 4.000000029E-02, 4.761017770E+00
         3, 2.396767712E-01, 3.999999887E-02, 7.000632361E+00
         4, 2.395151588E-01, 3.999999954E-02, 7.579965949E+00
         5, 2.393535470E-01, 4.000000037E-02, 8.111928195E+00
         6, 2.391919237E-01, 3.999999984E-02, 8.023139715E+00
         7, 2.390303017E-01, 3.999999954E-02, 7.934350848E+00
         8, 2.388686814E-01, 3.999999953E-02, 7.845562220E+00
         9, 2.387070572E-01, 3.999999883E-02, 7.751436319E+00
        10, 2.385454431E-01, 3.999999955E-02, 7.614568055E+00
        11, 2.383838397E-01, 3.999999954E-02, 7.477712631E+00
        12, 2.382222214E-01, 3.999999953E-02, 7.340844512E+00
        13, 2.380606030E-01, 3.999999954E-02, 7.203976274E+00
        14, 2.378989847E-01, 3.999999954E-02, 7.067108154E+00
        15, 2.377373664E-01, 3.999999955E-02, 6.930239856E+00
        16, 2.375757481E-01, 3.999999953E-02, 6.793371826E+00
        17, 2.374141354E-01, 4.000000048E-02, 6.663785834E+00
        18, 2.372525143E-01, 3.999999983E-02, 6.565035105E+00
        19, 2.370909065E-01, 3.999999894E-02, 6.466293722E+00
        20, 2.369292927E-01, 3.999999953E-02, 6.367543489E+00
        21, 2.367676752E-01, 3.999999954E-02, 6.268793106E+00
        22, 2.366060579E-01, 3.999999954E-02, 6.170042515E+00
        23, 2.364444405E-01, 3.999999955E-02, 6.071292281E+00
        24, 2.362828231E-01, 3.999999954E-02, 5.972541809E+00
        25, 2.361212057E-01, 3.999999954E-02, 5.873791337E+00
        26, 2.359595883E-01, 3.999999954E-02, 5.775040865E+00
        27, 2.357979858E-01, 3.999999953E-02, 5.676299572E+00
        28, 2.356363684E-01, 3.999999955E-02, 5.577549100E+00
        29, 2.354747510E-01, 3.999999954E-02, 5.478798687E+00
        30, 2.353131337E-01, 3.999999953E-02, 5.380048335E+00
        31, 2.351515163E-01, 3.999999955E-02, 5.281297773E+00
        32, 2.349899059E-01, 4.000000074E-02, 5.182547852E+00
        33, 2.348282785E-01, 3.999999910E-02, 5.092854179E+00
        34, 2.346666611E-01, 3.999999923E-02, 5.019907191E+00
        35, 2.345050595E-01, 3.999999955E-02, 4.946967006E+00
        36, 2.343434376E-01, 3.999999895E-02, 4.874020070E+00
        37, 2.341818281E-01, 4.000000044E-02, 4.801073462E+00
        38, 2.340202045E-01, 3.999999954E-02, 4.728126168E+00
        39, 2.338585862E-01, 3.999999954E-02, 4.655179322E+00
        40, 2.336969679E-01, 3.999999955E-02, 4.582232296E+00
        41, 2.335353496E-01, 3.999999954E-02, 4.509285390E+00
        42, 2.333737314E-01, 3.999999954E-02, 4.436338425E+00
        43, 2.332121280E-01, 3.999999954E-02, 4.363398314E+00
        44, 2.330505096E-01, 3.999999955E-02, 4.290451288E+00
        45, 2.328888914E-01, 3.999999953E-02, 4.217504382E+00
        46, 2.327272713E-01, 3.999999923E-02, 4.144557238E+00
        47, 2.325656548E-01, 3.999999954E-02, 4.071610451E+00
        48, 2.324040365E-01, 3.999999955E-02, 3.998663485E+00
        49, 2.322424181E-01, 3.999999955E-02, 3.925716490E+00
        50, 2.320807997E-01, 3.999999950E-02, 3.852769546E+00
        51, 2.319191929E-01, 3.999999886E-02, 3.789110132E+00
        52, 2.317575793E-01, 3.999999953E-02, 3.737544127E+00
        53, 2.315959593E-01, 3.999999909E-02, 3.685977995E+00
        54, 2.314343444E-01, 3.999999953E-02, 3.634411842E+00
        55, 2.312727252E-01, 3.999999924E-02, 3.582845598E+00
        56, 2.311111095E-01, 3.999999954E-02, 3.531279445E+00
        57, 2.309494920E-01, 3.999999954E-02, 3.479713380E+00
        58, 2.307878745E-01, 3.999999954E-02, 3.428147197E+00
        59, 2.306262571E-01, 3.999999954E-02, 3.376581132E+00
        60, 2.304646544E-01, 3.999999954E-02, 3.325019598E+00
        61, 2.303030371E-01, 3.999999954E-02, 3.273453593E+00
        62, 2.301414196E-01, 3.999999953E-02, 3.221887410E+00
        63, 2.299798020E-01, 3.999999955E-02, 3.170321286E+00
        64, 2.298181847E-01, 3.999999954E-02, 3.118755132E+00
        65, 2.296565672E-01, 3.999999953E-02, 3.067189008E+00
        66, 2.294949497E-01, 3.999999955E-02, 3.015622795E+00
        67, 2.293333322E-01, 3.999999954E-02, 2.964056626E+00
        68, 2.291717228E-01, 3.999999835E-02, 2.912495296E+00
        69, 2.290101098E-01, 3.999999920E-02, 2.869809054E+00
        70, 2.288484917E-01, 3.999999924E-02, 2.835413791E+00
        71, 2.286868751E-01, 3.999999955E-02, 2.801018670E+00
        72, 2.285252568E-01, 3.999999953E-02, 2.766623288E+00
        73, 2.283636402E-01, 3.999999984E-02, 2.732228160E+00
        74, 2.282020203E-01, 3.999999954E-02, 2.697832882E+00
        75, 2.280404020E-01, 3.999999955E-02, 2.663437694E+00
        76, 2.278787985E-01, 3.999999954E-02, 2.629045635E+00
        77, 2.277171802E-01, 3.999999954E-02, 2.594650418E+00
        78, 2.275555620E-01, 3.999999954E-02, 2.560255170E+00
        79, 2.273939436E-01, 3.999999953E-02, 2.525859892E+00
        80, 2.272323254E-01, 3.999999954E-02, 2.491464674E+00
        81, 2.270707070E-01, 3.999999954E-02, 2.457069427E+00
        82, 2.269090888E-01, 3.999999955E-02, 2.422674239E+00
        83, 2.267474704E-01, 3.999999953E-02, 2.388278931E+00
        84, 2.265858662E-01, 3.999999938E-02, 2.353886902E+00
        85, 2.264242554E-01, 4.000000074E-02, 2.319491744E+00
        86, 2.262626305E-01, 3.999999954E-02, 2.285096463E+00
        87, 2.261010079E-01, 3.999999879E-02, 2.258049350E+00
        88, 2.259393905E-01, 3.999999894E-02, 2.235894650E+00
        89, 2.257777722E-01, 3.999999895E-02, 2.213740066E+00
        90, 2.256161606E-01, 4.000000014E-02, 2.191585407E+00
        91, 2.254545406E-01, 3.999999984E-02, 2.169430733E+00
        92, 2.252929355E-01, 3.999999954E-02, 2.147278160E+00
        93, 2.251313173E-01, 3.999999954E-02, 2.125123471E+00
        94, 2.249696990E-01, 3.999999955E-02, 2.102968723E+00
        95, 2.248080806E-01, 3.999999954E-02, 2.080814093E+00
        96, 2.246464624E-01, 3.999999954E-02, 2.058659405E+00
        97, 2.244848440E-01, 3.999999955E-02, 2.036504805E+00
        98, 2.243232258E-01, 3.999999953E-02, 2.014350086E+00
        99, 2.241616074E-01, 3.999999953E-02, 1.992195427E+00
       100, 2.240000024E-01, 3.999999923E-02, 1.970042825E+00
