nodenumber,    x-coordinate,    y-coordinate,velocity-magnitude
         1, 2.400000000E-01, 5.999999898E-02, 0.000000000E+00
         2, 2.398383746E-01, 6.000000016E-02, 3.902681738E+00
         3, 2.396767796E-01, 6.000000010E-02, 6.140461154E+00
         4, 2.395151580E-01, 6.000000073E-02, 6.861302674E+00
         5, 2.393535271E-01, 5.999999886E-02, 7.531517155E+00
         6, 2.391919235E-01, 6.000000206E-02, 7.539238989E+00
         7, 2.390303017E-01, 6.000000073E-02, 7.546960473E+00
         8, 2.388686852E-01, 6.000000073E-02, 7.554681957E+00
         9, 2.387070788E-01, 6.000000330E-02, 7.549154241E+00
        10, 2.385454591E-01, 6.000000296E-02, 7.437517941E+00
        11, 2.383838468E-01, 6.000000073E-02, 7.325891972E+00
        12, 2.382222267E-01, 6.000000028E-02, 7.214255869E+00
        13, 2.380606101E-01, 6.000000073E-02, 7.102619767E+00
        14, 2.378989901E-01, 6.000000028E-02, 6.990983665E+00
        15, 2.377373735E-01, 6.000000073E-02, 6.879347742E+00
        16, 2.375757485E-01, 5.999999905E-02, 6.767711222E+00
        17, 2.374141307E-01, 5.999999919E-02, 6.651655259E+00
        18, 2.372525118E-01, 5.999999905E-02, 6.516880967E+00
        19, 2.370909133E-01, 6.000000028E-02, 6.382119343E+00
        20, 2.369292976E-01, 6.000000095E-02, 6.247345388E+00
        21, 2.367676784E-01, 6.000000073E-02, 6.112571359E+00
        22, 2.366060583E-01, 6.000000028E-02, 5.977797061E+00
        23, 2.364444400E-01, 6.000000028E-02, 5.843023062E+00
        24, 2.362828234E-01, 6.000000073E-02, 5.708248734E+00
        25, 2.361212050E-01, 6.000000073E-02, 5.573474526E+00
        26, 2.359595868E-01, 6.000000073E-02, 5.438700736E+00
        27, 2.357979815E-01, 6.000000029E-02, 5.303938925E+00
        28, 2.356363596E-01, 5.999999939E-02, 5.169164598E+00
        29, 2.354747483E-01, 6.000000117E-02, 5.034390539E+00
        30, 2.353131291E-01, 6.000000095E-02, 4.899616599E+00
        31, 2.351515116E-01, 6.000000117E-02, 4.764842361E+00
        32, 2.349898920E-01, 6.000000084E-02, 4.630068138E+00
        33, 2.348282756E-01, 6.000000131E-02, 4.506088959E+00
        34, 2.346666593E-01, 6.000000185E-02, 4.402060404E+00
        35, 2.345050533E-01, 6.000000117E-02, 4.298041545E+00
        36, 2.343434324E-01, 6.000000050E-02, 4.194012851E+00
        37, 2.341818114E-01, 5.999999984E-02, 4.089984298E+00
        38, 2.340201949E-01, 6.000000028E-02, 3.985955834E+00
        39, 2.338585731E-01, 5.999999939E-02, 3.881927252E+00
        40, 2.336969601E-01, 6.000000073E-02, 3.777898908E+00
        41, 2.335353417E-01, 6.000000073E-02, 3.673870385E+00
        42, 2.333737235E-01, 6.000000073E-02, 3.569842070E+00
        43, 2.332121199E-01, 6.000000073E-02, 3.465822935E+00
        44, 2.330505017E-01, 6.000000073E-02, 3.361794472E+00
        45, 2.328888816E-01, 6.000000029E-02, 3.257765859E+00
        46, 2.327272617E-01, 5.999999984E-02, 3.153737456E+00
        47, 2.325656416E-01, 5.999999939E-02, 3.049708962E+00
        48, 2.324040294E-01, 6.000000094E-02, 2.945680499E+00
        49, 2.322424110E-01, 6.000000095E-02, 2.841651931E+00
        50, 2.320807852E-01, 5.999999900E-02, 2.737623375E+00
        51, 2.319191898E-01, 6.000000098E-02, 2.651621867E+00
        52, 2.317575688E-01, 6.000000008E-02, 2.589091718E+00
        53, 2.315959539E-01, 6.000000073E-02, 2.526561558E+00
        54, 2.314343304E-01, 5.999999918E-02, 2.464031227E+00
        55, 2.312727207E-01, 6.000000118E-02, 2.401501134E+00
        56, 2.311111031E-01, 6.000000117E-02, 2.338971078E+00
        57, 2.309494823E-01, 6.000000028E-02, 2.276440844E+00
        58, 2.307878665E-01, 6.000000073E-02, 2.213910669E+00
        59, 2.306262490E-01, 6.000000073E-02, 2.151380479E+00
        60, 2.304646465E-01, 6.000000073E-02, 2.088856101E+00
        61, 2.303030289E-01, 6.000000073E-02, 2.026325881E+00
        62, 2.301414115E-01, 6.000000073E-02, 1.963795751E+00
        63, 2.299797923E-01, 6.000000028E-02, 1.901265576E+00
        64, 2.298181799E-01, 6.000000162E-02, 1.838735431E+00
        65, 2.296565548E-01, 5.999999961E-02, 1.776205182E+00
        66, 2.294949348E-01, 5.999999894E-02, 1.713675059E+00
        67, 2.293333250E-01, 6.000000095E-02, 1.651144877E+00
        68, 2.291717150E-01, 5.999999899E-02, 1.588620491E+00
