nodenumber,    x-coordinate,    y-coordinate,turb-kinetic-energy
         1, 2.399999807E-01, 3.999999879E-02, 3.619549716E-06
         2, 2.398383741E-01, 4.000000029E-02, 4.869363634E-01
         3, 2.396767712E-01, 3.999999887E-02, 8.150072331E-01
         4, 2.395151588E-01, 3.999999954E-02, 8.896062076E-01
         5, 2.393535470E-01, 4.000000037E-02, 9.668470351E-01
         6, 2.391919237E-01, 3.999999984E-02, 1.078706577E+00
         7, 2.390303017E-01, 3.999999954E-02, 1.190566108E+00
         8, 2.388686814E-01, 3.999999953E-02, 1.302425630E+00
         9, 2.387070572E-01, 3.999999883E-02, 1.409579845E+00
        10, 2.385454431E-01, 3.999999955E-02, 1.479052588E+00
        11, 2.383838397E-01, 3.999999954E-02, 1.548518971E+00
        12, 2.382222214E-01, 3.999999953E-02, 1.617991745E+00
        13, 2.380606030E-01, 3.999999954E-02, 1.687464535E+00
        14, 2.378989847E-01, 3.999999954E-02, 1.756937250E+00
        15, 2.377373664E-01, 3.999999955E-02, 1.826410070E+00
        16, 2.375757481E-01, 3.999999953E-02, 1.895882808E+00
        17, 2.374141354E-01, 4.000000048E-02, 1.953619662E+00
        18, 2.372525143E-01, 3.999999983E-02, 1.961660281E+00
        19, 2.370909065E-01, 3.999999894E-02, 1.969700068E+00
        20, 2.369292927E-01, 3.999999953E-02, 1.977740690E+00
        21, 2.367676752E-01, 3.999999954E-02, 1.985781372E+00
        22, 2.366060579E-01, 3.999999954E-02, 1.993821889E+00
        23, 2.364444405E-01, 3.999999955E-02, 2.001862496E+00
        24, 2.362828231E-01, 3.999999954E-02, 2.009903073E+00
        25, 2.361212057E-01, 3.999999954E-02, 2.017943650E+00
        26, 2.359595883E-01, 3.999999954E-02, 2.025984287E+00
        27, 2.357979858E-01, 3.999999953E-02, 2.034024149E+00
        28, 2.356363684E-01, 3.999999955E-02, 2.042064756E+00
        29, 2.354747510E-01, 3.999999954E-02, 2.050105348E+00
        30, 2.353131337E-01, 3.999999953E-02, 2.058145896E+00
        31, 2.351515163E-01, 3.999999955E-02, 2.066186503E+00
        32, 2.349899059E-01, 4.000000074E-02, 2.074227110E+00
        33, 2.348282785E-01, 3.999999910E-02, 2.070448128E+00
        34, 2.346666611E-01, 3.999999923E-02, 2.044815190E+00
        35, 2.345050595E-01, 3.999999955E-02, 2.019184574E+00
        36, 2.343434376E-01, 3.999999895E-02, 1.993551597E+00
        37, 2.341818281E-01, 4.000000044E-02, 1.967918724E+00
        38, 2.340202045E-01, 3.999999954E-02, 1.942285806E+00
