nodenumber,    x-coordinate,    y-coordinate,velocity-magnitude
         1, 2.400000000E-01, 1.999999918E-02, 0.000000000E+00
         2, 2.398383670E-01, 1.999999896E-02, 4.772148818E+00
         3, 2.396767712E-01, 1.999999884E-02, 6.277938455E+00
         4, 2.395151588E-01, 1.999999918E-02, 6.553568363E+00
         5, 2.393535470E-01, 1.999999959E-02, 6.810683049E+00
         6, 2.391919290E-01, 1.999999978E-02, 6.825175881E+00
         7, 2.390303017E-01, 1.999999918E-02, 6.839668751E+00
         8, 2.388686814E-01, 1.999999918E-02, 6.854161739E+00
         9, 2.387070643E-01, 1.999999942E-02, 6.864562005E+00
        10, 2.385454431E-01, 1.999999918E-02, 6.842184305E+00
        11, 2.383838326E-01, 1.999999858E-02, 6.819809318E+00
        12, 2.382222143E-01, 1.999999858E-02, 6.797431707E+00
        13, 2.380606030E-01, 1.999999918E-02, 6.775054932E+00
        14, 2.378989847E-01, 1.999999918E-02, 6.752677679E+00
        15, 2.377373664E-01, 1.999999918E-02, 6.730300546E+00
        16, 2.375757481E-01, 1.999999918E-02, 6.707922935E+00
        17, 2.374141354E-01, 1.999999965E-02, 6.681758583E+00
        18, 2.372525143E-01, 1.999999933E-02, 6.639556140E+00
        19, 2.370909136E-01, 1.999999948E-02, 6.597357810E+00
        20, 2.369292927E-01, 1.999999918E-02, 6.555155873E+00
        21, 2.367676752E-01, 1.999999918E-02, 6.512953520E+00
        22, 2.366060650E-01, 1.999999978E-02, 6.470751405E+00
        23, 2.364444475E-01, 1.999999978E-02, 6.428549051E+00
        24, 2.362828231E-01, 1.999999918E-02, 6.386346579E+00
        25, 2.361212057E-01, 1.999999918E-02, 6.344144344E+00
        26, 2.359595883E-01, 1.999999918E-02, 6.301941872E+00
        27, 2.357979858E-01, 1.999999918E-02, 6.259743452E+00
        28, 2.356363684E-01, 1.999999918E-02, 6.217541337E+00
        29, 2.354747510E-01, 1.999999918E-02, 6.175338984E+00
        30, 2.353131337E-01, 1.999999918E-02, 6.133136988E+00
        31, 2.351515163E-01, 1.999999918E-02, 6.090934515E+00
        32, 2.349898989E-01, 1.999999918E-02, 6.048732132E+00
        33, 2.348282855E-01, 1.999999955E-02, 6.007159032E+00
        34, 2.346666611E-01, 1.999999903E-02, 5.966747433E+00
        35, 2.345050595E-01, 1.999999918E-02, 5.926340461E+00
        36, 2.343434376E-01, 1.999999888E-02, 5.885928929E+00
        37, 2.341818264E-01, 1.999999948E-02, 5.845518231E+00
        38, 2.340202045E-01, 1.999999918E-02, 5.805107117E+00
        39, 2.338585792E-01, 1.999999858E-02, 5.764695764E+00
        40, 2.336969679E-01, 1.999999918E-02, 5.724284887E+00
        41, 2.335353566E-01, 1.999999978E-02, 5.683873892E+00
        42, 2.333737314E-01, 1.999999918E-02, 5.643462420E+00
        43, 2.332121280E-01, 1.999999918E-02, 5.603055239E+00
        44, 2.330505096E-01, 1.999999918E-02, 5.562644005E+00
        45, 2.328888914E-01, 1.999999918E-02, 5.522233129E+00
        46, 2.327272730E-01, 1.999999918E-02, 5.481822014E+00
        47, 2.325656548E-01, 1.999999918E-02, 5.441411018E+00
        48, 2.324040365E-01, 1.999999918E-02, 5.400999904E+00
        49, 2.322424181E-01, 1.999999918E-02, 5.360588789E+00
        50, 2.320807999E-01, 1.999999918E-02, 5.320177600E+00
        51, 2.319191998E-01, 1.999999944E-02, 5.288297907E+00
        52, 2.317575793E-01, 1.999999918E-02, 5.267531782E+00
        53, 2.315959584E-01, 1.999999888E-02, 5.246766090E+00
        54, 2.314343375E-01, 1.999999858E-02, 5.225999951E+00
        55, 2.312727304E-01, 1.999999948E-02, 5.205234289E+00
        56, 2.311111095E-01, 1.999999918E-02, 5.184468150E+00
        57, 2.309494851E-01, 1.999999858E-02, 5.163702250E+00
        58, 2.307878814E-01, 1.999999978E-02, 5.142936707E+00
        59, 2.306262571E-01, 1.999999918E-02, 5.122170448E+00
        60, 2.304646544E-01, 1.999999918E-02, 5.101406574E+00
        61, 2.303030371E-01, 1.999999918E-02, 5.080640554E+00
        62, 2.301414196E-01, 1.999999918E-02, 5.059874654E+00
        63, 2.299798020E-01, 1.999999918E-02, 5.039108753E+00
        64, 2.298181847E-01, 1.999999918E-02, 5.018342972E+00
        65, 2.296565672E-01, 1.999999918E-02, 4.997576952E+00
        66, 2.294949497E-01, 1.999999918E-02, 4.976811051E+00
        67, 2.293333322E-01, 1.999999918E-02, 4.956044942E+00
        68, 2.291717297E-01, 1.999999918E-02, 4.935281023E+00
        69, 2.290101164E-01, 1.999999959E-02, 4.922346637E+00
        70, 2.288484917E-01, 1.999999903E-02, 4.916723996E+00
        71, 2.286868683E-01, 1.999999858E-02, 4.911100924E+00
        72, 2.285252568E-01, 1.999999918E-02, 4.905478299E+00
        73, 2.283636454E-01, 1.999999978E-02, 4.899855852E+00
        74, 2.282020203E-01, 1.999999918E-02, 4.894232988E+00
        75, 2.280403951E-01, 1.999999858E-02, 4.888610125E+00
        76, 2.278787985E-01, 1.999999918E-02, 4.882987976E+00
        77, 2.277171871E-01, 1.999999978E-02, 4.877365351E+00
        78, 2.275555619E-01, 1.999999918E-02, 4.871742487E+00
        79, 2.273939436E-01, 1.999999918E-02, 4.866119862E+00
        80, 2.272323254E-01, 1.999999918E-02, 4.860497117E+00
        81, 2.270707070E-01, 1.999999918E-02, 4.854874253E+00
        82, 2.269090888E-01, 1.999999918E-02, 4.849251747E+00
        83, 2.267474704E-01, 1.999999918E-02, 4.843628824E+00
        84, 2.265858670E-01, 1.999999918E-02, 4.838006496E+00
        85, 2.264242487E-01, 1.999999918E-02, 4.832383871E+00
        86, 2.262626305E-01, 1.999999918E-02, 4.826761074E+00
        87, 2.261010079E-01, 1.999999881E-02, 4.825093448E+00
        88, 2.259393972E-01, 1.999999948E-02, 4.826059163E+00
        89, 2.257777722E-01, 1.999999888E-02, 4.827024341E+00
        90, 2.256161606E-01, 1.999999948E-02, 4.827990055E+00
        91, 2.254545389E-01, 1.999999918E-02, 4.828955293E+00
        92, 2.252929355E-01, 1.999999918E-02, 4.829920530E+00
        93, 2.251313240E-01, 1.999999978E-02, 4.830886245E+00
        94, 2.249696990E-01, 1.999999918E-02, 4.831851721E+00
        95, 2.248080806E-01, 1.999999918E-02, 4.832817078E+00
        96, 2.246464624E-01, 1.999999918E-02, 4.833782673E+00
        97, 2.244848440E-01, 1.999999918E-02, 4.834748030E+00
        98, 2.243232258E-01, 1.999999918E-02, 4.835713387E+00
        99, 2.241616074E-01, 1.999999918E-02, 4.836678863E+00
       100, 2.240000041E-01, 1.999999918E-02, 4.837644339E+00
