nodenumber,    x-coordinate,    y-coordinate,turb-kinetic-energy
         1, 2.400000000E-01, 1.999999918E-02, 0.000000000E+00
         2, 2.398383670E-01, 1.999999896E-02, 3.302467056E-01
         3, 2.396767712E-01, 1.999999884E-02, 4.553877739E-01
         4, 2.395151588E-01, 1.999999918E-02, 4.645395875E-01
         5, 2.393535470E-01, 1.999999959E-02, 4.744508956E-01
         6, 2.391919290E-01, 1.999999978E-02, 4.943140596E-01
         7, 2.390303017E-01, 1.999999918E-02, 5.141771883E-01
         8, 2.388686814E-01, 1.999999918E-02, 5.340403467E-01
         9, 2.387070643E-01, 1.999999942E-02, 5.545327216E-01
        10, 2.385454431E-01, 1.999999918E-02, 5.800642893E-01
        11, 2.383838326E-01, 1.999999858E-02, 6.055934578E-01
        12, 2.382222143E-01, 1.999999858E-02, 6.311250031E-01
        13, 2.380606030E-01, 1.999999918E-02, 6.566565633E-01
        14, 2.378989847E-01, 1.999999918E-02, 6.821880937E-01
        15, 2.377373664E-01, 1.999999918E-02, 7.077196538E-01
        16, 2.375757481E-01, 1.999999918E-02, 7.332511619E-01
        17, 2.374141354E-01, 1.999999965E-02, 7.595779533E-01
        18, 2.372525143E-01, 1.999999933E-02, 7.892718539E-01
        19, 2.370909136E-01, 1.999999948E-02, 8.189630359E-01
        20, 2.369292927E-01, 1.999999918E-02, 8.486569375E-01
        21, 2.367676752E-01, 1.999999918E-02, 8.783508539E-01
        22, 2.366060650E-01, 1.999999978E-02, 9.080447853E-01
        23, 2.364444475E-01, 1.999999978E-02, 9.377387166E-01
        24, 2.362828231E-01, 1.999999918E-02, 9.674326479E-01
        25, 2.361212057E-01, 1.999999918E-02, 9.971265495E-01
        26, 2.359595883E-01, 1.999999918E-02, 1.026820451E+00
        27, 2.357979858E-01, 1.999999918E-02, 1.056511611E+00
        28, 2.356363684E-01, 1.999999918E-02, 1.086205587E+00
        29, 2.354747510E-01, 1.999999918E-02, 1.115899503E+00
        30, 2.353131337E-01, 1.999999918E-02, 1.145593464E+00
        31, 2.351515163E-01, 1.999999918E-02, 1.175287306E+00
        32, 2.349898989E-01, 1.999999918E-02, 1.204981280E+00
        33, 2.348282855E-01, 1.999999955E-02, 1.230932701E+00
        34, 2.346666611E-01, 1.999999903E-02, 1.249964453E+00
        35, 2.345050595E-01, 1.999999918E-02, 1.268994331E+00
        36, 2.343434376E-01, 1.999999888E-02, 1.288026094E+00
        37, 2.341818264E-01, 1.999999948E-02, 1.307057858E+00
        38, 2.340202045E-01, 1.999999918E-02, 1.326089561E+00
        39, 2.338585792E-01, 1.999999858E-02, 1.345121324E+00
        40, 2.336969679E-01, 1.999999918E-02, 1.364153028E+00
        41, 2.335353566E-01, 1.999999978E-02, 1.383184791E+00
        42, 2.333737314E-01, 1.999999918E-02, 1.402216494E+00
        43, 2.332121280E-01, 1.999999918E-02, 1.421246469E+00
        44, 2.330505096E-01, 1.999999918E-02, 1.440278172E+00
        45, 2.328888914E-01, 1.999999918E-02, 1.459309906E+00
        46, 2.327272730E-01, 1.999999918E-02, 1.478341609E+00
        47, 2.325656548E-01, 1.999999918E-02, 1.497373387E+00
        48, 2.324040365E-01, 1.999999918E-02, 1.516405091E+00
        49, 2.322424181E-01, 1.999999918E-02, 1.535436809E+00
        50, 2.320807999E-01, 1.999999918E-02, 1.554468587E+00
        51, 2.319191998E-01, 1.999999944E-02, 1.568470128E+00
        52, 2.317575793E-01, 1.999999918E-02, 1.575917557E+00
        53, 2.315959584E-01, 1.999999888E-02, 1.583365083E+00
        54, 2.314343375E-01, 1.999999858E-02, 1.590812624E+00
        55, 2.312727304E-01, 1.999999948E-02, 1.598260164E+00
        56, 2.311111095E-01, 1.999999918E-02, 1.605707705E+00
        57, 2.309494851E-01, 1.999999858E-02, 1.613155186E+00
        58, 2.307878814E-01, 1.999999978E-02, 1.620602787E+00
        59, 2.306262571E-01, 1.999999918E-02, 1.628050268E+00
        60, 2.304646544E-01, 1.999999918E-02, 1.635497153E+00
        61, 2.303030371E-01, 1.999999918E-02, 1.642944634E+00
        62, 2.301414196E-01, 1.999999918E-02, 1.650392175E+00
        63, 2.299798020E-01, 1.999999918E-02, 1.657839745E+00
        64, 2.298181847E-01, 1.999999918E-02, 1.665287167E+00
        65, 2.296565672E-01, 1.999999918E-02, 1.672734708E+00
        66, 2.294949497E-01, 1.999999918E-02, 1.680182278E+00
        67, 2.293333322E-01, 1.999999918E-02, 1.687629730E+00
        68, 2.291717297E-01, 1.999999918E-02, 1.695076581E+00
        69, 2.290101164E-01, 1.999999959E-02, 1.701399945E+00
