nodenumber,    x-coordinate,    y-coordinate,turb-kinetic-energy
         1, 2.400000000E-01, 5.999999898E-02, 0.000000000E+00
         2, 2.398383746E-01, 6.000000016E-02, 1.346121870E-01
         3, 2.396767796E-01, 6.000000010E-02, 2.953280301E-01
         4, 2.395151580E-01, 6.000000073E-02, 3.274641968E-01
         5, 2.393535271E-01, 5.999999886E-02, 3.565787260E-01
         6, 2.391919235E-01, 6.000000206E-02, 3.461530488E-01
         7, 2.390303017E-01, 6.000000073E-02, 3.357273638E-01
         8, 2.388686852E-01, 6.000000073E-02, 3.253016826E-01
         9, 2.387070788E-01, 6.000000330E-02, 3.151832588E-01
        10, 2.385454591E-01, 6.000000296E-02, 3.075252995E-01
        11, 2.383838468E-01, 6.000000073E-02, 2.998680547E-01
        12, 2.382222267E-01, 6.000000028E-02, 2.922101114E-01
        13, 2.380606101E-01, 6.000000073E-02, 2.845521681E-01
        14, 2.378989901E-01, 6.000000028E-02, 2.768942267E-01
        15, 2.377373735E-01, 6.000000073E-02, 2.692362797E-01
        16, 2.375757485E-01, 5.999999905E-02, 2.615783317E-01
        17, 2.374141307E-01, 5.999999919E-02, 2.526633088E-01
        18, 2.372525118E-01, 5.999999905E-02, 2.384250722E-01
        19, 2.370909133E-01, 6.000000028E-02, 2.241881668E-01
        20, 2.369292976E-01, 6.000000095E-02, 2.099499452E-01
        21, 2.367676784E-01, 6.000000073E-02, 1.957117121E-01
        22, 2.366060583E-01, 6.000000028E-02, 1.814734903E-01
        23, 2.364444400E-01, 6.000000028E-02, 1.672352690E-01
        24, 2.362828234E-01, 6.000000073E-02, 1.529970430E-01
        25, 2.361212050E-01, 6.000000073E-02, 1.387588042E-01
        26, 2.359595868E-01, 6.000000073E-02, 1.245205952E-01
        27, 2.357979815E-01, 6.000000029E-02, 1.102836709E-01
        28, 2.356363596E-01, 5.999999939E-02, 9.604544193E-02
        29, 2.354747483E-01, 6.000000117E-02, 8.180721803E-02
        30, 2.353131291E-01, 6.000000095E-02, 6.756898900E-02
        31, 2.351515116E-01, 6.000000117E-02, 5.333076511E-02
        32, 2.349898920E-01, 6.000000084E-02, 3.909253539E-02
        33, 2.348282756E-01, 6.000000131E-02, 2.926868319E-02
        34, 2.346666593E-01, 6.000000185E-02, 2.760351999E-02
        35, 2.345050533E-01, 6.000000117E-02, 2.593851035E-02
        36, 2.343434324E-01, 6.000000050E-02, 2.427334668E-02
        37, 2.341818114E-01, 5.999999984E-02, 2.260818208E-02
        38, 2.340201949E-01, 6.000000028E-02, 2.094301980E-02
        39, 2.338585731E-01, 5.999999939E-02, 1.927785613E-02
        40, 2.336969601E-01, 6.000000073E-02, 1.761269386E-02
        41, 2.335353417E-01, 6.000000073E-02, 1.594753018E-02
        42, 2.333737235E-01, 6.000000073E-02, 1.428236744E-02
