nodenumber,    x-coordinate,    y-coordinate,velocity-magnitude
         1, 2.400000000E-01, 1.199999966E-01, 0.000000000E+00
         2, 2.398383786E-01, 1.200000015E-01, 1.736022413E+00
         3, 2.396767727E-01, 1.200000028E-01, 2.853279247E+00
         4, 2.395151493E-01, 1.199999993E-01, 3.345476061E+00
         5, 2.393535362E-01, 1.200000010E-01, 3.809930903E+00
         6, 2.391919204E-01, 1.200000013E-01, 3.911360145E+00
         7, 2.390302999E-01, 1.199999993E-01, 4.012789384E+00
         8, 2.388686835E-01, 1.199999993E-01, 4.114218742E+00
         9, 2.387070676E-01, 1.199999999E-01, 4.202866312E+00
        10, 2.385454462E-01, 1.199999992E-01, 4.189154189E+00
        11, 2.383838410E-01, 1.199999993E-01, 4.175443046E+00
        12, 2.382222199E-01, 1.199999989E-01, 4.161730990E+00
        13, 2.380606006E-01, 1.199999993E-01, 4.148018703E+00
        14, 2.378989725E-01, 1.199999953E-01, 4.134306401E+00
        15, 2.377373633E-01, 1.200000009E-01, 4.120594352E+00
        16, 2.375757360E-01, 1.199999973E-01, 4.106881961E+00
        17, 2.374141167E-01, 1.199999974E-01, 4.086600910E+00
        18, 2.372525003E-01, 1.199999974E-01, 4.038520122E+00
        19, 2.370908976E-01, 1.199999969E-01, 3.990443729E+00
        20, 2.369292794E-01, 1.199999960E-01, 3.942362882E+00
        21, 2.367676776E-01, 1.200000034E-01, 3.894282378E+00
        22, 2.366060531E-01, 1.199999993E-01, 3.846201427E+00
        23, 2.364444296E-01, 1.199999958E-01, 3.798120499E+00
        24, 2.362828202E-01, 1.199999993E-01, 3.750039861E+00
        25, 2.361212038E-01, 1.199999993E-01, 3.701959103E+00
        26, 2.359595873E-01, 1.199999993E-01, 3.653878227E+00
        27, 2.357979928E-01, 1.200000029E-01, 3.605801985E+00
        28, 2.356363685E-01, 1.199999989E-01, 3.557720989E+00
        29, 2.354747459E-01, 1.199999958E-01, 3.509640202E+00
        30, 2.353131390E-01, 1.200000007E-01, 3.461559474E+00
        31, 2.351515165E-01, 1.199999975E-01, 3.413478479E+00
        32, 2.349899104E-01, 1.200000029E-01, 3.365398005E+00
        33, 2.348282910E-01, 1.200000017E-01, 3.314803047E+00
        34, 2.346666622E-01, 1.199999963E-01, 3.259559525E+00
        35, 2.345050597E-01, 1.199999968E-01, 3.204321239E+00
        36, 2.343434464E-01, 1.199999993E-01, 3.149078019E+00
        37, 2.341818307E-01, 1.200000007E-01, 3.093834702E+00
        38, 2.340202037E-01, 1.199999962E-01, 3.038591251E+00
        39, 2.338585914E-01, 1.199999993E-01, 2.983347930E+00
        40, 2.336969723E-01, 1.199999989E-01, 2.928104617E+00
        41, 2.335353548E-01, 1.199999993E-01, 2.872861281E+00
        42, 2.333737366E-01, 1.199999993E-01, 2.817617923E+00
        43, 2.332121263E-01, 1.199999958E-01, 2.762379631E+00
        44, 2.330505140E-01, 1.199999989E-01, 2.707136378E+00
        45, 2.328888975E-01, 1.199999998E-01, 2.651893109E+00
        46, 2.327272717E-01, 1.199999960E-01, 2.596649617E+00
        47, 2.325656566E-01, 1.199999975E-01, 2.541406453E+00
        48, 2.324040451E-01, 1.200000011E-01, 2.486163083E+00
        49, 2.322424163E-01, 1.199999958E-01, 2.430919657E+00
        50, 2.320808017E-01, 1.199999976E-01, 2.375676234E+00
        51, 2.319192080E-01, 1.200000026E-01, 2.324880271E+00
        52, 2.317575792E-01, 1.199999972E-01, 2.279870507E+00
        53, 2.315959657E-01, 1.199999997E-01, 2.234860893E+00
        54, 2.314343502E-01, 1.200000011E-01, 2.189851280E+00
        55, 2.312727345E-01, 1.200000024E-01, 2.144841500E+00
        56, 2.311111032E-01, 1.199999958E-01, 2.099831749E+00
        57, 2.309494918E-01, 1.199999993E-01, 2.054822002E+00
        58, 2.307878744E-01, 1.199999998E-01, 2.009812370E+00
        59, 2.306262552E-01, 1.199999993E-01, 1.964802623E+00
        60, 2.304646518E-01, 1.199999993E-01, 1.919797085E+00
        61, 2.303030335E-01, 1.199999993E-01, 1.874787346E+00
        62, 2.301414152E-01, 1.199999993E-01, 1.829777621E+00
        63, 2.299798028E-01, 1.200000024E-01, 1.784767933E+00
        64, 2.298181744E-01, 1.199999971E-01, 1.739758261E+00
        65, 2.296565611E-01, 1.199999998E-01, 1.694748506E+00
        66, 2.294949459E-01, 1.200000013E-01, 1.649738856E+00
        67, 2.293333190E-01, 1.199999969E-01, 1.604728997E+00
        68, 2.291717152E-01, 1.199999967E-01, 1.559723514E+00
        69, 2.290101086E-01, 1.200000026E-01, 1.521763788E+00
        70, 2.288484907E-01, 1.200000023E-01, 1.490383822E+00
        71, 2.286868742E-01, 1.200000029E-01, 1.459003867E+00
        72, 2.285252525E-01, 1.200000007E-01, 1.427624008E+00
        73, 2.283636325E-01, 1.199999993E-01, 1.396244051E+00
        74, 2.282020209E-01, 1.200000024E-01, 1.364864171E+00
        75, 2.280403976E-01, 1.199999993E-01, 1.333484236E+00
        76, 2.278787950E-01, 1.199999993E-01, 1.302107234E+00
        77, 2.277171776E-01, 1.199999993E-01, 1.270727359E+00
        78, 2.275555601E-01, 1.199999993E-01, 1.239347454E+00
        79, 2.273939494E-01, 1.200000029E-01, 1.207967542E+00
        80, 2.272323250E-01, 1.199999993E-01, 1.176587574E+00
        81, 2.270707084E-01, 1.199999998E-01, 1.145207703E+00
        82, 2.269090877E-01, 1.199999980E-01, 1.113827832E+00
        83, 2.267474655E-01, 1.199999955E-01, 1.082447831E+00
        84, 2.265858730E-01, 1.200000009E-01, 1.051070880E+00
        85, 2.264242506E-01, 1.199999982E-01, 1.019690990E+00
        86, 2.262626318E-01, 1.199999976E-01, 9.883110288E-01
        87, 2.261010147E-01, 1.199999980E-01, 9.636877377E-01
        88, 2.259394001E-01, 1.200000000E-01, 9.435628774E-01
        89, 2.257777846E-01, 1.200000015E-01, 9.234380163E-01
        90, 2.256161690E-01, 1.200000029E-01, 9.033132149E-01
        91, 2.254545402E-01, 1.199999973E-01, 8.831882942E-01
        92, 2.252929414E-01, 1.199999998E-01, 8.630653489E-01
        93, 2.251313223E-01, 1.199999993E-01, 8.429404721E-01
        94, 2.249697040E-01, 1.199999993E-01, 8.228156622E-01
        95, 2.248080856E-01, 1.199999993E-01, 8.026907854E-01
        96, 2.246464674E-01, 1.199999993E-01, 7.825659551E-01
        97, 2.244848491E-01, 1.199999993E-01, 7.624410987E-01
        98, 2.243232308E-01, 1.199999993E-01, 7.423162423E-01
        99, 2.241616191E-01, 1.200000029E-01, 7.221914120E-01
       100, 2.240000166E-01, 1.200000034E-01, 7.020684239E-01
