nodenumber,    x-coordinate,    y-coordinate,velocity-magnitude
         1, 2.400000000E-01, 1.000000027E-01, 0.000000000E+00
         2, 2.398383737E-01, 1.000000044E-01, 2.324905384E+00
         3, 2.396767784E-01, 1.000000040E-01, 3.701785211E+00
         4, 2.395151588E-01, 1.000000027E-01, 4.242881417E+00
         5, 2.393535398E-01, 1.000000018E-01, 4.751502439E+00
         6, 2.391919139E-01, 9.999999936E-02, 4.834569961E+00
         7, 2.390303017E-01, 1.000000027E-01, 4.917638063E+00
         8, 2.388686770E-01, 1.000000008E-01, 5.000705391E+00
         9, 2.387070644E-01, 1.000000039E-01, 5.070601960E+00
        10, 2.385454440E-01, 1.000000031E-01, 5.035017356E+00
        11, 2.383838433E-01, 1.000000042E-01, 4.999436259E+00
        12, 2.382222214E-01, 1.000000027E-01, 4.963851750E+00
        13, 2.380606030E-01, 1.000000027E-01, 4.928267181E+00
        14, 2.378989830E-01, 1.000000020E-01, 4.892682731E+00
        15, 2.377373655E-01, 1.000000023E-01, 4.857098162E+00
        16, 2.375757476E-01, 1.000000025E-01, 4.821513608E+00
        17, 2.374141319E-01, 1.000000035E-01, 4.779201865E+00
        18, 2.372525068E-01, 1.000000003E-01, 4.708402611E+00
        19, 2.370909175E-01, 1.000000059E-01, 4.637610152E+00
        20, 2.369292918E-01, 1.000000023E-01, 4.566810906E+00
        21, 2.367676699E-01, 1.000000005E-01, 4.496011451E+00
        22, 2.366060649E-01, 1.000000057E-01, 4.425212532E+00
        23, 2.364444405E-01, 1.000000027E-01, 4.354413211E+00
        24, 2.362828231E-01, 1.000000027E-01, 4.283614010E+00
        25, 2.361212057E-01, 1.000000027E-01, 4.212814957E+00
        26, 2.359595883E-01, 1.000000027E-01, 4.142015666E+00
        27, 2.357979911E-01, 1.000000049E-01, 4.071223140E+00
        28, 2.356363614E-01, 9.999999973E-02, 4.000423759E+00
        29, 2.354747475E-01, 1.000000012E-01, 3.929624707E+00
        30, 2.353131302E-01, 1.000000012E-01, 3.858825475E+00
        31, 2.351515154E-01, 1.000000023E-01, 3.788026340E+00
        32, 2.349899021E-01, 1.000000041E-01, 3.717227191E+00
        33, 2.348282822E-01, 1.000000031E-01, 3.646123875E+00
        34, 2.346666677E-01, 1.000000047E-01, 3.574458182E+00
        35, 2.345050560E-01, 1.000000012E-01, 3.502798736E+00
        36, 2.343434403E-01, 1.000000023E-01, 3.431133062E+00
        37, 2.341818246E-01, 1.000000034E-01, 3.359467372E+00
        38, 2.340201993E-01, 1.000000005E-01, 3.287801489E+00
        39, 2.338585845E-01, 1.000000020E-01, 3.216135651E+00
        40, 2.336969662E-01, 1.000000020E-01, 3.144469887E+00
        41, 2.335353497E-01, 1.000000027E-01, 3.072804153E+00
        42, 2.333737313E-01, 1.000000027E-01, 3.001138389E+00
        43, 2.332121280E-01, 1.000000027E-01, 2.929479301E+00
        44, 2.330505097E-01, 1.000000027E-01, 2.857813418E+00
        45, 2.328889001E-01, 1.000000064E-01, 2.786147773E+00
        46, 2.327272696E-01, 1.000000012E-01, 2.714481816E+00
        47, 2.325656496E-01, 1.000000005E-01, 2.642816052E+00
        48, 2.324040408E-01, 1.000000046E-01, 2.571150392E+00
        49, 2.322424107E-01, 9.999999954E-02, 2.499484397E+00
        50, 2.320807963E-01, 1.000000012E-01, 2.427818650E+00
        51, 2.319191999E-01, 1.000000041E-01, 2.364481674E+00
        52, 2.317575755E-01, 1.000000010E-01, 2.311987620E+00
        53, 2.315959662E-01, 1.000000046E-01, 2.259493686E+00
        54, 2.314343409E-01, 1.000000012E-01, 2.206999756E+00
        55, 2.312727304E-01, 1.000000042E-01, 2.154505804E+00
        56, 2.311111060E-01, 1.000000012E-01, 2.102011763E+00
        57, 2.309494903E-01, 1.000000020E-01, 2.049517915E+00
        58, 2.307878745E-01, 1.000000027E-01, 1.997023940E+00
        59, 2.306262571E-01, 1.000000027E-01, 1.944530010E+00
        60, 2.304646545E-01, 1.000000027E-01, 1.892040893E+00
        61, 2.303030371E-01, 1.000000027E-01, 1.839546949E+00
        62, 2.301414212E-01, 1.000000035E-01, 1.787052944E+00
        63, 2.299798106E-01, 1.000000064E-01, 1.734559044E+00
        64, 2.298181924E-01, 1.000000061E-01, 1.682065159E+00
        65, 2.296565638E-01, 1.000000012E-01, 1.629571080E+00
        66, 2.294949497E-01, 1.000000027E-01, 1.577077135E+00
        67, 2.293333351E-01, 1.000000040E-01, 1.524583183E+00
        68, 2.291717296E-01, 1.000000027E-01, 1.472094102E+00
        69, 2.290101062E-01, 1.000000003E-01, 1.429545885E+00
        70, 2.288484926E-01, 1.000000023E-01, 1.396283746E+00
        71, 2.286868777E-01, 1.000000038E-01, 1.363021689E+00
        72, 2.285252645E-01, 1.000000061E-01, 1.329759587E+00
        73, 2.283636351E-01, 1.000000012E-01, 1.296497460E+00
        74, 2.282020203E-01, 1.000000027E-01, 1.263235349E+00
        75, 2.280404088E-01, 1.000000057E-01, 1.229973301E+00
        76, 2.278787985E-01, 1.000000027E-01, 1.196714185E+00
        77, 2.277171802E-01, 1.000000027E-01, 1.163452119E+00
        78, 2.275555619E-01, 1.000000027E-01, 1.130190015E+00
        79, 2.273939436E-01, 1.000000027E-01, 1.096927881E+00
        80, 2.272323236E-01, 1.000000020E-01, 1.063665785E+00
        81, 2.270707137E-01, 1.000000057E-01, 1.030403718E+00
        82, 2.269090812E-01, 9.999999936E-02, 9.971415997E-01
        83, 2.267474712E-01, 1.000000031E-01, 9.638794623E-01
        84, 2.265858641E-01, 1.000000014E-01, 9.306204878E-01
        85, 2.264242487E-01, 1.000000027E-01, 8.973583132E-01
        86, 2.262626338E-01, 1.000000042E-01, 8.640962536E-01
        87, 2.261010146E-01, 1.000000038E-01, 8.395886223E-01
        88, 2.259393867E-01, 9.999999954E-02, 8.209095756E-01
        89, 2.257777713E-01, 1.000000008E-01, 8.022305984E-01
        90, 2.256161564E-01, 1.000000023E-01, 7.835516129E-01
        91, 2.254545313E-01, 9.999999936E-02, 7.648725733E-01
        92, 2.252929322E-01, 1.000000012E-01, 7.461953312E-01
        93, 2.251313173E-01, 1.000000027E-01, 7.275163494E-01
        94, 2.249696989E-01, 1.000000027E-01, 7.088373415E-01
        95, 2.248080806E-01, 1.000000027E-01, 6.901583411E-01
        96, 2.246464623E-01, 1.000000027E-01, 6.714793406E-01
        97, 2.244848440E-01, 1.000000027E-01, 6.528003737E-01
        98, 2.243232208E-01, 1.000000005E-01, 6.341213584E-01
        99, 2.241616074E-01, 1.000000027E-01, 6.154423691E-01
       100, 2.239999999E-01, 1.000000008E-01, 5.967650786E-01
