nodenumber,    x-coordinate,    y-coordinate,velocity-magnitude
         1, 2.399999807E-01, 3.999999879E-02, 3.736356593E-04
         2, 2.398383741E-01, 4.000000029E-02, 3.518016532E+00
         3, 2.396767712E-01, 3.999999887E-02, 5.471112825E+00
         4, 2.395151588E-01, 3.999999954E-02, 6.028959394E+00
         5, 2.393535470E-01, 4.000000037E-02, 6.544898555E+00
         6, 2.391919237E-01, 3.999999984E-02, 6.511682391E+00
         7, 2.390303017E-01, 3.999999954E-02, 6.478466272E+00
         8, 2.388686814E-01, 3.999999953E-02, 6.445250094E+00
         9, 2.387070572E-01, 3.999999883E-02, 6.407819211E+00
        10, 2.385454431E-01, 3.999999955E-02, 6.336636692E+00
        11, 2.383838397E-01, 3.999999954E-02, 6.265460193E+00
        12, 2.382222214E-01, 3.999999953E-02, 6.194277525E+00
        13, 2.380606030E-01, 3.999999954E-02, 6.123094440E+00
        14, 2.378989847E-01, 3.999999954E-02, 6.051911712E+00
        15, 2.377373664E-01, 3.999999955E-02, 5.980728686E+00
        16, 2.375757481E-01, 3.999999953E-02, 5.909546077E+00
        17, 2.374141354E-01, 4.000000048E-02, 5.839506887E+00
        18, 2.372525143E-01, 3.999999983E-02, 5.774310112E+00
        19, 2.370909065E-01, 3.999999894E-02, 5.709119171E+00
        20, 2.369292927E-01, 3.999999953E-02, 5.643922389E+00
        21, 2.367676752E-01, 3.999999954E-02, 5.578725696E+00
        22, 2.366060579E-01, 3.999999954E-02, 5.513529003E+00
        23, 2.364444405E-01, 3.999999955E-02, 5.448332191E+00
        24, 2.362828231E-01, 3.999999954E-02, 5.383135498E+00
        25, 2.361212057E-01, 3.999999954E-02, 5.317938805E+00
        26, 2.359595883E-01, 3.999999954E-02, 5.252741933E+00
        27, 2.357979858E-01, 3.999999953E-02, 5.187551200E+00
        28, 2.356363684E-01, 3.999999955E-02, 5.122354448E+00
        29, 2.354747510E-01, 3.999999954E-02, 5.057157636E+00
        30, 2.353131337E-01, 3.999999953E-02, 4.991960913E+00
        31, 2.351515163E-01, 3.999999955E-02, 4.926764101E+00
        32, 2.349899059E-01, 4.000000074E-02, 4.861567765E+00
        33, 2.348282785E-01, 3.999999910E-02, 4.800753560E+00
        34, 2.346666611E-01, 3.999999923E-02, 4.748043090E+00
        35, 2.345050595E-01, 3.999999955E-02, 4.695338041E+00
        36, 2.343434376E-01, 3.999999895E-02, 4.642627597E+00
        37, 2.341818281E-01, 4.000000044E-02, 4.589917600E+00
        38, 2.340202045E-01, 3.999999954E-02, 4.537207246E+00
        39, 2.338585862E-01, 3.999999954E-02, 4.484497190E+00
        40, 2.336969679E-01, 3.999999955E-02, 4.431786895E+00
        41, 2.335353496E-01, 3.999999954E-02, 4.379076600E+00
        42, 2.333737314E-01, 3.999999954E-02, 4.326366544E+00
        43, 2.332121280E-01, 3.999999954E-02, 4.273661017E+00
        44, 2.330505096E-01, 3.999999955E-02, 4.220950902E+00
        45, 2.328888914E-01, 3.999999953E-02, 4.168240666E+00
        46, 2.327272713E-01, 3.999999923E-02, 4.115530431E+00
        47, 2.325656548E-01, 3.999999954E-02, 4.062820137E+00
        48, 2.324040365E-01, 3.999999955E-02, 4.010110021E+00
        49, 2.322424181E-01, 3.999999955E-02, 3.957399845E+00
        50, 2.320807997E-01, 3.999999950E-02, 3.904689722E+00
        51, 2.319191929E-01, 3.999999886E-02, 3.858031109E+00
        52, 2.317575793E-01, 3.999999953E-02, 3.819251336E+00
        53, 2.315959593E-01, 3.999999909E-02, 3.780471459E+00
        54, 2.314343444E-01, 3.999999953E-02, 3.741691679E+00
        55, 2.312727252E-01, 3.999999924E-02, 3.702911913E+00
