nodenumber,    x-coordinate,    y-coordinate,velocity-magnitude
         1, 2.400000000E-01, 5.999999898E-02, 0.000000000E+00
         2, 2.398383746E-01, 6.000000016E-02, 2.576872006E+00
         3, 2.396767796E-01, 6.000000010E-02, 4.440632652E+00
         4, 2.395151580E-01, 6.000000073E-02, 5.259382844E+00
         5, 2.393535271E-01, 5.999999886E-02, 6.023085784E+00
         6, 2.391919235E-01, 6.000000206E-02, 6.066452861E+00
         7, 2.390303017E-01, 6.000000073E-02, 6.109820068E+00
         8, 2.388686852E-01, 6.000000073E-02, 6.153187126E+00
         9, 2.387070788E-01, 6.000000330E-02, 6.182456955E+00
        10, 2.385454591E-01, 6.000000296E-02, 6.098828778E+00
        11, 2.383838468E-01, 6.000000073E-02, 6.015208066E+00
        12, 2.382222267E-01, 6.000000028E-02, 5.931579709E+00
        13, 2.380606101E-01, 6.000000073E-02, 5.847951651E+00
        14, 2.378989901E-01, 6.000000028E-02, 5.764323056E+00
        15, 2.377373735E-01, 6.000000073E-02, 5.680694938E+00
        16, 2.375757485E-01, 5.999999905E-02, 5.597066581E+00
        17, 2.374141307E-01, 5.999999919E-02, 5.517173707E+00
        18, 2.372525118E-01, 5.999999905E-02, 5.453098804E+00
        19, 2.370909133E-01, 6.000000028E-02, 5.389029711E+00
        20, 2.369292976E-01, 6.000000095E-02, 5.324954808E+00
        21, 2.367676784E-01, 6.000000073E-02, 5.260879993E+00
        22, 2.366060583E-01, 6.000000028E-02, 5.196805060E+00
        23, 2.364444400E-01, 6.000000028E-02, 5.132730067E+00
        24, 2.362828234E-01, 6.000000073E-02, 5.068655074E+00
        25, 2.361212050E-01, 6.000000073E-02, 5.004579961E+00
        26, 2.359595868E-01, 6.000000073E-02, 4.940505147E+00
        27, 2.357979815E-01, 6.000000029E-02, 4.876435816E+00
        28, 2.356363596E-01, 5.999999939E-02, 4.812360883E+00
        29, 2.354747483E-01, 6.000000117E-02, 4.748286158E+00
        30, 2.353131291E-01, 6.000000095E-02, 4.684210896E+00
        31, 2.351515116E-01, 6.000000117E-02, 4.620136097E+00
        32, 2.349898920E-01, 6.000000084E-02, 4.556061000E+00
        33, 2.348282756E-01, 6.000000131E-02, 4.495804679E+00
        34, 2.346666593E-01, 6.000000185E-02, 4.442605942E+00
        35, 2.345050533E-01, 6.000000117E-02, 4.389412045E+00
        36, 2.343434324E-01, 6.000000050E-02, 4.336213171E+00
        37, 2.341818114E-01, 5.999999984E-02, 4.283014029E+00
        38, 2.340201949E-01, 6.000000028E-02, 4.229815423E+00
        39, 2.338585731E-01, 5.999999939E-02, 4.176616609E+00
        40, 2.336969601E-01, 6.000000073E-02, 4.123417825E+00
        41, 2.335353417E-01, 6.000000073E-02, 4.070218801E+00
        42, 2.333737235E-01, 6.000000073E-02, 4.017020106E+00
        43, 2.332121199E-01, 6.000000073E-02, 3.963826060E+00
        44, 2.330505017E-01, 6.000000073E-02, 3.910627365E+00
        45, 2.328888816E-01, 6.000000029E-02, 3.857428432E+00
        46, 2.327272617E-01, 5.999999984E-02, 3.804229677E+00
        47, 2.325656416E-01, 5.999999939E-02, 3.751030713E+00
        48, 2.324040294E-01, 6.000000094E-02, 3.697831929E+00
        49, 2.322424110E-01, 6.000000095E-02, 3.644633159E+00
        50, 2.320807852E-01, 5.999999900E-02, 3.591434259E+00
        51, 2.319191898E-01, 6.000000098E-02, 3.540478304E+00
        52, 2.317575688E-01, 6.000000008E-02, 3.492434211E+00
        53, 2.315959539E-01, 6.000000073E-02, 3.444390185E+00
        54, 2.314343304E-01, 5.999999918E-02, 3.396346048E+00
        55, 2.312727207E-01, 6.000000118E-02, 3.348302096E+00
        56, 2.311111031E-01, 6.000000117E-02, 3.300257951E+00
        57, 2.309494823E-01, 6.000000028E-02, 3.252213836E+00
