nodenumber,    x-coordinate,    y-coordinate,turb-kinetic-energy
         1, 2.400000000E-01, 1.000000027E-01, 1.956995028E-07
         2, 2.398383737E-01, 1.000000044E-01, 2.162573719E-02
         3, 2.396767784E-01, 1.000000040E-01, 1.045323843E-01
         4, 2.395151588E-01, 1.000000027E-01, 1.568457764E-01
         5, 2.393535398E-01, 1.000000018E-01, 2.064882990E-01
         6, 2.391919139E-01, 9.999999936E-02, 2.211316889E-01
         7, 2.390303017E-01, 1.000000027E-01, 2.357750889E-01
         8, 2.388686770E-01, 1.000000008E-01, 2.504184740E-01
         9, 2.387070644E-01, 1.000000039E-01, 2.698089823E-01
        10, 2.385454440E-01, 1.000000031E-01, 3.272158410E-01
        11, 2.383838433E-01, 1.000000042E-01, 3.846174292E-01
        12, 2.382222214E-01, 1.000000027E-01, 4.420243092E-01
        13, 2.380606030E-01, 1.000000027E-01, 4.994311705E-01
        14, 2.378989830E-01, 1.000000020E-01, 5.568380356E-01
        15, 2.377373655E-01, 1.000000023E-01, 6.142449128E-01
        16, 2.375757476E-01, 1.000000025E-01, 6.716517522E-01
        17, 2.374141319E-01, 1.000000035E-01, 7.269306865E-01
        18, 2.372525068E-01, 1.000000003E-01, 7.731986009E-01
        19, 2.370909175E-01, 1.000000059E-01, 8.194622919E-01
        20, 2.369292918E-01, 1.000000023E-01, 8.657301627E-01
        21, 2.367676699E-01, 1.000000005E-01, 9.119980708E-01
        22, 2.366060649E-01, 1.000000057E-01, 9.582660422E-01
        23, 2.364444405E-01, 1.000000027E-01, 1.004533924E+00
        24, 2.362828231E-01, 1.000000027E-01, 1.050801851E+00
        25, 2.361212057E-01, 1.000000027E-01, 1.097069725E+00
        26, 2.359595883E-01, 1.000000027E-01, 1.143337689E+00
        27, 2.357979911E-01, 1.000000049E-01, 1.189601343E+00
        28, 2.356363614E-01, 9.999999973E-02, 1.235869192E+00
        29, 2.354747475E-01, 1.000000012E-01, 1.282137170E+00
        30, 2.353131302E-01, 1.000000012E-01, 1.328405054E+00
        31, 2.351515154E-01, 1.000000023E-01, 1.374672974E+00
        32, 2.349899021E-01, 1.000000041E-01, 1.420940965E+00
        33, 2.348282822E-01, 1.000000031E-01, 1.453667298E+00
        34, 2.346666677E-01, 1.000000047E-01, 1.461355751E+00
        35, 2.345050560E-01, 1.000000012E-01, 1.469043501E+00
        36, 2.343434403E-01, 1.000000023E-01, 1.476731926E+00
        37, 2.341818246E-01, 1.000000034E-01, 1.484420434E+00
        38, 2.340201993E-01, 1.000000005E-01, 1.492108896E+00
        39, 2.338585845E-01, 1.000000020E-01, 1.499797374E+00
        40, 2.336969662E-01, 1.000000020E-01, 1.507485867E+00
        41, 2.335353497E-01, 1.000000027E-01, 1.515174299E+00
        42, 2.333737313E-01, 1.000000027E-01, 1.522862807E+00
        43, 2.332121280E-01, 1.000000027E-01, 1.530550539E+00
        44, 2.330505097E-01, 1.000000027E-01, 1.538239069E+00
        45, 2.328889001E-01, 1.000000064E-01, 1.545927621E+00
        46, 2.327272696E-01, 1.000000012E-01, 1.553615950E+00
        47, 2.325656496E-01, 1.000000005E-01, 1.561304417E+00
        48, 2.324040408E-01, 1.000000046E-01, 1.568993002E+00
        49, 2.322424107E-01, 9.999999954E-02, 1.576681416E+00
        50, 2.320807963E-01, 1.000000012E-01, 1.584369920E+00
        51, 2.319191999E-01, 1.000000041E-01, 1.583409147E+00
        52, 2.317575755E-01, 1.000000010E-01, 1.571173495E+00
        53, 2.315959662E-01, 1.000000046E-01, 1.558938086E+00
        54, 2.314343409E-01, 1.000000012E-01, 1.546702433E+00
        55, 2.312727304E-01, 1.000000042E-01, 1.534466967E+00
        56, 2.311111060E-01, 1.000000012E-01, 1.522231385E+00
        57, 2.309494903E-01, 1.000000020E-01, 1.509995878E+00
        58, 2.307878745E-01, 1.000000027E-01, 1.497760333E+00
        59, 2.306262571E-01, 1.000000027E-01, 1.485524774E+00
        60, 2.304646545E-01, 1.000000027E-01, 1.473290384E+00
        61, 2.303030371E-01, 1.000000027E-01, 1.461054787E+00
        62, 2.301414212E-01, 1.000000035E-01, 1.448819287E+00
        63, 2.299798106E-01, 1.000000064E-01, 1.436583750E+00
        64, 2.298181924E-01, 1.000000061E-01, 1.424348265E+00
        65, 2.296565638E-01, 1.000000012E-01, 1.412112646E+00
        66, 2.294949497E-01, 1.000000027E-01, 1.399877068E+00
        67, 2.293333351E-01, 1.000000040E-01, 1.387641575E+00
        68, 2.291717296E-01, 1.000000027E-01, 1.375407102E+00
        69, 2.290101062E-01, 1.000000003E-01, 1.357771999E+00
        70, 2.288484926E-01, 1.000000023E-01, 1.335095339E+00
        71, 2.286868777E-01, 1.000000038E-01, 1.312418690E+00
        72, 2.285252645E-01, 1.000000061E-01, 1.289742049E+00
        73, 2.283636351E-01, 1.000000012E-01, 1.267065331E+00
        74, 2.282020203E-01, 1.000000027E-01, 1.244388722E+00
        75, 2.280404088E-01, 1.000000057E-01, 1.221712075E+00
        76, 2.278787985E-01, 1.000000027E-01, 1.199037470E+00
        77, 2.277171802E-01, 1.000000027E-01, 1.176360808E+00
        78, 2.275555619E-01, 1.000000027E-01, 1.153684154E+00
        79, 2.273939436E-01, 1.000000027E-01, 1.131007485E+00
        80, 2.272323236E-01, 1.000000020E-01, 1.108330846E+00
        81, 2.270707137E-01, 1.000000057E-01, 1.085654207E+00
        82, 2.269090812E-01, 9.999999936E-02, 1.062977478E+00
        83, 2.267474712E-01, 1.000000031E-01, 1.040300865E+00
        84, 2.265858641E-01, 1.000000014E-01, 1.017626308E+00
        85, 2.264242487E-01, 1.000000027E-01, 9.949496351E-01
        86, 2.262626338E-01, 1.000000042E-01, 9.722729754E-01
        87, 2.261010146E-01, 1.000000038E-01, 9.506851570E-01
        88, 2.259393867E-01, 9.999999954E-02, 9.298222382E-01
        89, 2.257777713E-01, 1.000000008E-01, 9.089593384E-01
        90, 2.256161564E-01, 1.000000023E-01, 8.880964909E-01
        91, 2.254545313E-01, 9.999999936E-02, 8.672335781E-01
        92, 2.252929322E-01, 1.000000012E-01, 8.463726342E-01
        93, 2.251313173E-01, 1.000000027E-01, 8.255097643E-01
        94, 2.249696989E-01, 1.000000027E-01, 8.046468869E-01
        95, 2.248080806E-01, 1.000000027E-01, 7.837839797E-01
        96, 2.246464623E-01, 1.000000027E-01, 7.629210874E-01
        97, 2.244848440E-01, 1.000000027E-01, 7.420582175E-01
        98, 2.243232208E-01, 1.000000005E-01, 7.211953327E-01
        99, 2.241616074E-01, 1.000000027E-01, 7.003324479E-01
       100, 2.239999999E-01, 1.000000008E-01, 6.794714928E-01
