nodenumber,    x-coordinate,    y-coordinate,velocity-magnitude
         1, 2.400000000E-01, 1.199999966E-01, 0.000000000E+00
         2, 2.398383786E-01, 1.200000015E-01, 1.175392141E+00
         3, 2.396767727E-01, 1.200000028E-01, 2.176885982E+00
         4, 2.395151493E-01, 1.199999993E-01, 2.811036348E+00
         5, 2.393535362E-01, 1.200000010E-01, 3.413316110E+00
         6, 2.391919204E-01, 1.200000013E-01, 3.598543115E+00
         7, 2.390302999E-01, 1.199999993E-01, 3.783769906E+00
         8, 2.388686835E-01, 1.199999993E-01, 3.968996979E+00
         9, 2.387070676E-01, 1.199999999E-01, 4.130040563E+00
        10, 2.385454462E-01, 1.199999992E-01, 4.097417258E+00
        11, 2.383838410E-01, 1.199999993E-01, 4.064796954E+00
        12, 2.382222199E-01, 1.199999989E-01, 4.032173663E+00
        13, 2.380606006E-01, 1.199999993E-01, 3.999550372E+00
        14, 2.378989725E-01, 1.199999953E-01, 3.966927022E+00
        15, 2.377373633E-01, 1.200000009E-01, 3.934303954E+00
        16, 2.375757360E-01, 1.199999973E-01, 3.901680458E+00
        17, 2.374141167E-01, 1.199999974E-01, 3.866871629E+00
        18, 2.372525003E-01, 1.199999974E-01, 3.822812587E+00
        19, 2.370908976E-01, 1.199999969E-01, 3.778757740E+00
        20, 2.369292794E-01, 1.199999960E-01, 3.734698646E+00
        21, 2.367676776E-01, 1.200000034E-01, 3.690639921E+00
        22, 2.366060531E-01, 1.199999993E-01, 3.646580659E+00
        23, 2.364444296E-01, 1.199999958E-01, 3.602521598E+00
        24, 2.362828202E-01, 1.199999993E-01, 3.558462799E+00
        25, 2.361212038E-01, 1.199999993E-01, 3.514403850E+00
        26, 2.359595873E-01, 1.199999993E-01, 3.470344797E+00
        27, 2.357979928E-01, 1.200000029E-01, 3.426290110E+00
        28, 2.356363685E-01, 1.199999989E-01, 3.382230937E+00
        29, 2.354747459E-01, 1.199999958E-01, 3.338171944E+00
        30, 2.353131390E-01, 1.200000007E-01, 3.294112988E+00
        31, 2.351515165E-01, 1.199999975E-01, 3.250054035E+00
        32, 2.349899104E-01, 1.200000029E-01, 3.205995049E+00
        33, 2.348282910E-01, 1.200000017E-01, 3.166132631E+00
        34, 2.346666622E-01, 1.199999963E-01, 3.134029031E+00
        35, 2.345050597E-01, 1.199999968E-01, 3.101928543E+00
        36, 2.343434464E-01, 1.199999993E-01, 3.069825199E+00
        37, 2.341818307E-01, 1.200000007E-01, 3.037721820E+00
        38, 2.340202037E-01, 1.199999962E-01, 3.005618267E+00
        39, 2.338585914E-01, 1.199999993E-01, 2.973514795E+00
        40, 2.336969723E-01, 1.199999989E-01, 2.941411383E+00
        41, 2.335353548E-01, 1.199999993E-01, 2.909308001E+00
        42, 2.333737366E-01, 1.199999993E-01, 2.877204597E+00
        43, 2.332121263E-01, 1.199999958E-01, 2.845104009E+00
        44, 2.330505140E-01, 1.199999989E-01, 2.813000612E+00
        45, 2.328888975E-01, 1.199999998E-01, 2.780897230E+00
        46, 2.327272717E-01, 1.199999960E-01, 2.748793706E+00
        47, 2.325656566E-01, 1.199999975E-01, 2.716690302E+00
        48, 2.324040451E-01, 1.200000011E-01, 2.684586897E+00
        49, 2.322424163E-01, 1.199999958E-01, 2.652483331E+00
        50, 2.320808017E-01, 1.199999976E-01, 2.620379961E+00
        51, 2.319192080E-01, 1.200000026E-01, 2.588281056E+00
        52, 2.317575792E-01, 1.199999972E-01, 2.556180563E+00
        53, 2.315959657E-01, 1.199999997E-01, 2.524080299E+00
        54, 2.314343502E-01, 1.200000011E-01, 2.491980020E+00
        55, 2.312727345E-01, 1.200000024E-01, 2.459879737E+00
        56, 2.311111032E-01, 1.199999958E-01, 2.427779309E+00
        57, 2.309494918E-01, 1.199999993E-01, 2.395679109E+00
        58, 2.307878744E-01, 1.199999998E-01, 2.363578796E+00
        59, 2.306262552E-01, 1.199999993E-01, 2.331478417E+00
        60, 2.304646518E-01, 1.199999993E-01, 2.299381033E+00
        61, 2.303030335E-01, 1.199999993E-01, 2.267280824E+00
        62, 2.301414152E-01, 1.199999993E-01, 2.235180505E+00
        63, 2.299798028E-01, 1.200000024E-01, 2.203080177E+00
        64, 2.298181744E-01, 1.199999971E-01, 2.170979798E+00
        65, 2.296565611E-01, 1.199999998E-01, 2.138879489E+00
        66, 2.294949459E-01, 1.200000013E-01, 2.106779333E+00
        67, 2.293333190E-01, 1.199999969E-01, 2.074678920E+00
        68, 2.291717152E-01, 1.199999967E-01, 2.042581554E+00
        69, 2.290101086E-01, 1.200000026E-01, 2.009507046E+00
        70, 2.288484907E-01, 1.200000023E-01, 1.975523200E+00
        71, 2.286868742E-01, 1.200000029E-01, 1.941539358E+00
        72, 2.285252525E-01, 1.200000007E-01, 1.907555487E+00
        73, 2.283636325E-01, 1.199999993E-01, 1.873571645E+00
        74, 2.282020209E-01, 1.200000024E-01, 1.839587834E+00
        75, 2.280403976E-01, 1.199999993E-01, 1.805603929E+00
        76, 2.278787950E-01, 1.199999993E-01, 1.771623239E+00
        77, 2.277171776E-01, 1.199999993E-01, 1.737639308E+00
        78, 2.275555601E-01, 1.199999993E-01, 1.703655504E+00
        79, 2.273939494E-01, 1.200000029E-01, 1.669671699E+00
        80, 2.272323250E-01, 1.199999993E-01, 1.635687709E+00
        81, 2.270707084E-01, 1.199999998E-01, 1.601703852E+00
        82, 2.269090877E-01, 1.199999980E-01, 1.567720018E+00
        83, 2.267474655E-01, 1.199999955E-01, 1.533736113E+00
        84, 2.265858730E-01, 1.200000009E-01, 1.499755463E+00
        85, 2.264242506E-01, 1.199999982E-01, 1.465771604E+00
        86, 2.262626318E-01, 1.199999976E-01, 1.431787771E+00
        87, 2.261010147E-01, 1.199999980E-01, 1.399288611E+00
        88, 2.259394001E-01, 1.200000000E-01, 1.367777880E+00
        89, 2.257777846E-01, 1.200000015E-01, 1.336267262E+00
        90, 2.256161690E-01, 1.200000029E-01, 1.304756524E+00
        91, 2.254545402E-01, 1.199999973E-01, 1.273245787E+00
        92, 2.252929414E-01, 1.199999998E-01, 1.241738020E+00
        93, 2.251313223E-01, 1.199999993E-01, 1.210227326E+00
        94, 2.249697040E-01, 1.199999993E-01, 1.178716633E+00
        95, 2.248080856E-01, 1.199999993E-01, 1.147205882E+00
        96, 2.246464674E-01, 1.199999993E-01, 1.115695249E+00
        97, 2.244848491E-01, 1.199999993E-01, 1.084184527E+00
        98, 2.243232308E-01, 1.199999993E-01, 1.052673869E+00
        99, 2.241616191E-01, 1.200000029E-01, 1.021163180E+00
       100, 2.240000166E-01, 1.200000034E-01, 9.896554239E-01
